"","Subject","Age","Gender","Date","TrialNumber","Mesh","Function","Name","Name_learnt","Task","SuccessTask","RTMovement","RTGrasping","RTAction","TrialBlock","RTMovementGrasping","RTGraspingAction","RTMovement.c","RTMovement.z","RTGrasping.c","RTGrasping.z","RTAction.c","RTAction.z","RTMovementGrasping.c","RTMovementGrasping.z","RTGraspingAction.c","RTGraspingAction.z"
"82",24,19,"Female",21102018,4,"controllerRenderer_G","ANTIGRAVITY","UNT","Yes","MOVE","True",0.5111111,1.622225,1.86667,1,1.111,0.244,-0.008,-0.038,-0.056,-0.089,-0.794,-0.362,-0.048,-0.079,-0.738,-0.382
"83",27,19,"Female",15102018,4,"controllerRenderer_A","SNOWING","LUM","Yes","MOVE","True",0.7444451,2.799997,2.899997,1,2.056,0.1,0.225,1.021,1.122,1.786,0.24,0.109,0.897,1.479,-0.882,-0.456
"84",28,31,"Female",17102018,4,"controllerRenderer_I","SNOWING","NoName3","No","MOVE","True",0.5666668,2.666665,2.911108,1,2.1,0.244,0.047,0.214,0.988,1.574,0.251,0.114,0.941,1.552,-0.737,-0.382
"85",29,21,"Female",17102018,4,"controllerRenderer_B","ANTIGRAVITY","SNI","Yes","USE","True",0.6222225,2.088892,2.433334,1,1.467,0.344,0.103,0.466,0.41,0.654,-0.227,-0.104,0.307,0.508,-0.637,-0.33
"86",30,19,"Female",18102018,4,"controllerRenderer_G","ANTIGRAVITY","SNI","Yes","MOVE","True",0.4888889,2.322223,5.911124,1,1.833,3.589,-0.031,-0.139,0.644,1.025,3.251,1.484,0.675,1.112,2.607,1.349
"87",35,19,"Female",6112018,4,"controllerRenderer_C","ANTIGRAVITY","NoName1","No","MOVE","True",0.8333342,1.788892,1.955559,1,0.956,0.167,0.314,1.425,0.11,0.176,-0.705,-0.322,-0.204,-0.334,-0.815,-0.422
"88",36,20,"Female",6112018,4,"controllerRenderer_B","ANTIGRAVITY","LUM","Yes","USE","True",0.4666667,2.200002,3.111106,1,1.733,0.911,-0.053,-0.24,0.522,0.831,0.451,0.206,0.575,0.947,-0.071,-0.037
"89",38,20,"Male",7112018,4,"controllerRenderer_E","GROWING","NoName1","No","MOVE","True",0.5444446,1.877781,2.077781,1,1.333,0.2,0.025,0.113,0.199,0.318,-0.583,-0.266,0.174,0.287,-0.782,-0.405
"90",39,20,"Female",8112018,4,"controllerRenderer_I","ANTIGRAVITY","NoName1","No","MOVE","True",0.6222225,1.755559,1.76667,1,1.133,0.011,0.103,0.466,0.077,0.123,-0.894,-0.408,-0.026,-0.043,-0.971,-0.502
"91",40,19,"Male",8112018,4,"controllerRenderer_I","GROWING","NoName3","No","USE","True",0.4555556,1.655559,3.322215,1,1.2,1.667,-0.064,-0.291,-0.023,-0.036,0.662,0.302,0.041,0.068,0.685,0.354
"92",1922222,20,"Female",9102018,4,"controllerRenderer_C","ANTIGRAVITY","NoName2","No","USE","True",0.8000008,3.833322,4.944445,1,3.033,1.111,0.28,1.274,2.155,3.432,2.284,1.043,1.875,3.09,0.129,0.067
"93",1,25,"Female",19092018,5,"controllerRenderer_B","GROWING","NoName3","No","USE","True",0.6444448,1.611114,3.166661,1,0.967,1.556,0.125,0.567,-0.067,-0.107,0.506,0.231,-0.192,-0.316,0.573,0.297
"94",2,19,"Female",24092018,5,"controllerRenderer_C","CREATING","SNI","Yes","USE","True",0.4444444,2.122225,4.511106,1,1.678,2.389,-0.075,-0.341,0.444,0.707,1.851,0.845,0.519,0.856,1.407,0.728
"95",3,19,"Male",24092018,5,"controllerRenderer_G","BLACKHOLE","SNI","Yes","MOVE","True",0.5555557,1.900004,2.122225,1,1.344,0.222,0.036,0.163,0.222,0.353,-0.538,-0.246,0.186,0.305,-0.76,-0.393
"96",4,19,"Female",25092018,5,"controllerRenderer_A","BLACKHOLE","NoName3","No","MOVE","True",0.5222223,1.433336,1.566669,1,0.911,0.133,0.003,0.012,-0.245,-0.39,-1.094,-0.499,-0.248,-0.409,-0.849,-0.439
"97",5,20,"Female",25092018,5,"controllerRenderer_C","ANTIGRAVITY","NoName3","No","MOVE","True",0.9444456,4.388882,4.422215,1,3.444,0.033,0.425,1.93,2.71,4.317,1.762,0.804,2.285,3.768,-0.948,-0.491
"98",6,35,"Female",26092018,5,"controllerRenderer_B","CREATING","NoName3","No","USE","True",0.6333337,1.922226,4.133323,1,1.289,2.211,0.114,0.517,0.244,0.388,1.473,0.672,0.13,0.215,1.229,0.636
"99",8,21,"Female",27092018,5,"controllerRenderer_G","GROWING","UNT","Yes","MOVE","True",0.5222223,1.444447,1.47778,1,0.922,0.033,0.003,0.012,-0.234,-0.373,-1.183,-0.54,-0.237,-0.39,-0.949,-0.491
"100",10,19,"Female",2102018,5,"controllerRenderer_G","VANISHING","SNI","Yes","USE","True",0.4888889,1.833337,3.544436,1,1.344,1.711,-0.031,-0.139,0.155,0.247,0.884,0.404,0.186,0.305,0.729,0.377
"101",12,19,"Female",3102018,5,"controllerRenderer_I","VANISHING","UNT","Yes","USE","True",0.4666667,1.66667,2.28889,1,1.2,0.622,-0.053,-0.24,-0.012,-0.019,-0.371,-0.17,0.041,0.068,-0.359,-0.186
"102",14,20,"Female",5102018,5,"controllerRenderer_B","GROWING","NoName2","No","MOVE","True",0.3444445,1.311113,1.355558,1,0.967,0.044,-0.175,-0.795,-0.367,-0.585,-1.305,-0.596,-0.192,-0.316,-0.938,-0.485
"103",16,20,"Female",8102018,5,"controllerRenderer_A","VANISHING","NoName3","No","USE","True",0.4666667,2.377779,2.866663,1,1.911,0.489,-0.053,-0.24,0.699,1.114,0.206,0.094,0.752,1.24,-0.493,-0.255
"104",17,20,"Female",8102018,5,"controllerRenderer_A","GROWING","NoName3","No","MOVE","True",0.4,1.111113,1.244446,1,0.711,0.133,-0.12,-0.543,-0.567,-0.903,-1.416,-0.646,-0.447,-0.738,-0.849,-0.439
"105",18,18,"Male",9102018,5,"controllerRenderer_E","BLACKHOLE","NoName2","No","USE","True",0.4444444,1.47778,2.477778,1,1.033,1,-0.075,-0.341,-0.201,-0.32,-0.183,-0.083,-0.126,-0.207,0.018,0.009
"106",20,18,"Female",9102018,5,"controllerRenderer_E","ANTIGRAVITY","SNI","Yes","USE","True",0.5111111,1.966671,2.377779,1,1.456,0.411,-0.008,-0.038,0.288,0.459,-0.283,-0.129,0.296,0.49,-0.571,-0.295
"107",22,18,"Male",11102018,5,"controllerRenderer_G","ANTIGRAVITY","UNT","Yes","MOVE","True",0.5111111,1.777781,1.788892,1,1.267,0.011,-0.008,-0.038,0.099,0.158,-0.871,-0.398,0.107,0.178,-0.97,-0.502
